line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
11945,4986020,20161006_Zone3_S2_0450,QIefa4d0d7,3130,1.13,23164101,2016-12-12 15:01:58 UTC,0:00:15,"[2000, 1500]",No,[],[],[]
11946,4985847,20161006_Zone3_S2_0367,QIe56d1e90,3130,1.13,23164106,2016-12-12 15:02:04 UTC,0:00:20,"[2000, 1500]",Yes,"[[1041, 159, 200, ""h""], [1896, 351, 187, ""h""]]",[],[]
11947,4993822,20161004_Zone6_S4_059,Visitor,3130,1.13,23164113,2016-12-12 15:02:11 UTC,0:02:42,"[1200, 900]",Yes,"[[348, 758, 86, ""h""], [700, 823, 132, ""h""], [907, 476, 76, ""h""]]",[],"[[614, 61, 58, ""l""], [1144, 433, 106, ""l""]]"
11948,4982596,20161003_Zone4_S1_274,dmpeterson82,3130,1.13,23164117,2016-12-12 15:02:16 UTC,0:03:56,"[2000, 1500]",Yes,[],[],"[[1577, 702, 339, ""l""]]"
11949,4985207,20161006_Zone3_S1_0133,QIe56d1e90,3130,1.13,23164131,2016-12-12 15:02:30 UTC,0:00:25,"[2000, 1500]",Yes,"[[563, 288, 251, ""h""], [414, 703, 170, ""h""], [1130, 723, 210, ""h""], [1772, 1312, 311, ""h""]]",[],[]
11950,4993000,20161004_Zone6_S1_011,esilverb,3130,1.13,23164135,2016-12-12 15:02:35 UTC,0:03:06,"[1300, 975]",Yes,[],"[[1016, 521, 325, ""f""], [1205, 76, 73, ""f""], [560, 293, 192, ""f""]]",[]
11951,4989562,20161007_Zone1_S3_096,QI4803853a,3130,1.13,23164137,2016-12-12 15:02:36 UTC,0:00:50,"[898, 675]",Yes,"[[583, 128, 40, ""h""], [34, 276, 43, ""h""]]",[],"[[176, 321, 107, ""l""]]"
11952,4989266,20161007_Zone1_S1_040,QIefa4d0d7,3130,1.13,23164138,2016-12-12 15:02:36 UTC,0:00:37,"[900, 675]",Yes,[],"[[27, 259, 141, ""f""]]",[]
11953,4990277,20161007_Zone2_S3_006,QIe56d1e90,3130,1.13,23164144,2016-12-12 15:02:39 UTC,0:00:07,"[998, 750]",No,[],[],[]
11954,4991985,20161006_Zone5_S2_072,sterbur,3130,1.13,23164146,2016-12-12 15:02:40 UTC,0:01:09,"[2000, 1500]",Yes,"[[120, 1390, 125, ""h""], [1536, 1272, 123, ""h""], [1851, 1483, 82, ""h""]]","[[818, 800, 236, ""f""], [378, 998, 240, ""f""], [917, 198, 135, ""f""]]","[[369, 258, 442, ""l""]]"
11955,4983863,20161003_Zone4_S3_127,QIe56d1e90,3130,1.13,23164154,2016-12-12 15:02:49 UTC,0:00:06,"[1995, 1500]",No,[],[],[]
11956,4990079,20161007_Zone2_S2_106,OwenEdmonds,3130,1.13,23164155,2016-12-12 15:02:50 UTC,0:01:09,"[900, 675]",Yes,"[[189, 621, 77, ""h""], [178, 43, 78, ""h""], [694, 105, 73, ""h""], [557, 629, 55, ""h""]]","[[401, 336, 48, ""f""]]",[]
11957,4993419,20161004_Zone6_S3_003,Visitor,3130,1.13,23164159,2016-12-12 15:02:52 UTC,0:00:32,"[1995, 1500]",No,[],[],[]
11958,4989263,20161007_Zone1_S1_037,Visitor,3130,1.13,23164164,2016-12-12 15:02:55 UTC,0:08:29,"[900, 675]",Yes,[],[],"[[142, 636, 147, ""l""]]"
11959,4992631,20161006_Zone5_S3_163,QIe56d1e90,3130,1.13,23164173,2016-12-12 15:03:02 UTC,0:00:12,"[1995, 1500]",No,[],[],[]
11960,4988742,20161006_Zone3_S4_0933,Carolo52,3130,1.13,23164179,2016-12-12 15:03:06 UTC,0:02:17,"[2000, 1500]",Yes,"[[55, 478, 104, ""h""], [153, 668, 81, ""h""], [30, 606, 95, ""h""], [994, 1444, 77, ""h""], [499, 1411, 112, ""h""]]",[],"[[231, 237, 103, ""l""], [1829, 754, 89, ""l""], [1935, 349, 100, ""l""], [1985, 17, 126, ""l""]]"
11961,4989182,20161006_Zone3_S4_1154,QI4803853a,3130,1.13,23164190,2016-12-12 15:03:17 UTC,0:00:41,"[2000, 1500]",Yes,[],[],"[[1069, 1361, 135, ""l""]]"
11962,4990730,20161007_Zone2_S4_009,Bez,3130,1.13,23164196,2016-12-12 15:03:27 UTC,0:03:10,"[1060, 795]",No,[],[],[]
11963,4992894,20161006_Zone5_S4_114,QIe56d1e90,3130,1.13,23164198,2016-12-12 15:03:28 UTC,0:00:25,"[2000, 1500]",Yes,"[[1903, 126, 289, ""h""], [303, 1325, 229, ""h""], [1233, 149, 342, ""h""]]",[],[]
11964,4990481,20161007_Zone2_S3_143,OwenEdmonds,3130,1.13,23164199,2016-12-12 15:03:31 UTC,0:00:40,"[998, 750]",Yes,"[[345, 43, 86, ""h""], [386, 248, 69, ""h""], [479, 650, 142, ""h""], [287, 705, 79, ""h""], [99, 681, 85, ""h""], [925, 108, 84, ""h""], [847, 201, 88, ""h""], [929, 307, 74, ""h""], [857, 348, 70, ""h""]]",[],[]
11965,4989135,20161006_Zone3_S4_1107,Visitor,3130,1.13,23164201,2016-12-12 15:03:36 UTC,0:00:41,"[2000, 1500]",Yes,[],"[[684, 597, 1540, ""f""]]",[]
11966,4983708,20161003_Zone4_S3_048,jennyr35,3130,1.13,23164203,2016-12-12 15:03:39 UTC,0:04:18,"[1995, 1500]",Yes,"[[1678, 1032, 202, ""h""]]",[],"[[846, 941, 222, ""l""]]"
11967,4986955,20161006_Zone3_S2_0573,sterbur,3130,1.13,23164207,2016-12-12 15:03:45 UTC,0:01:03,"[2000, 1500]",Yes,"[[1249, 1285, 118, ""h""]]","[[267, 1355, 151, ""f""], [142, 922, 110, ""f""]]",[]
